date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-28,2019-05-28,29.27,29.27,27.76,28.22,22138340.0,5.13,5.13,5.13,5.13,100.0,5.0,5.0,4.98,4.98,2.0,4.7,4.7,4.7,4.7,1.0,,,,,,4.75,4.75,4.5,4.5,16.0,,,,,,3.85,3.85,3.06,3.06,9.0,,,,,,3.39,3.39,2.76,2.76,5.0,,,,,,2.6,2.6,2.15,2.31,84.0,2.68,2.72,2.05,2.07,155.0,2.5,2.5,1.79,1.82,103.0,2.28,2.28,1.67,1.67,11.0
2019-05-29,2019-05-29,29.84,30.3701,29.32,29.89,33021038.0,7.11,7.11,7.11,7.11,4.0,,,,,,6.0,6.05,6.0,6.04,31.0,,,,,,5.4,5.4,4.9,5.31,67.0,,,,,,4.76,4.76,4.76,4.76,1.0,4.38,4.38,3.95,3.96,61.0,4.0,4.0,3.6,3.6,81.0,,,,,,3.4,3.57,3.3,3.39,59.0,3.02,3.29,2.76,3.25,192.0,2.79,3.1,2.75,2.94,233.0,2.8,2.8,2.39,2.76,16.0
2019-05-30,2019-05-30,29.31,29.88,28.845,29.11,20277162.0,,,,,,,,,,,,,,,,,,,,,4.49,4.49,4.49,4.49,10.0,,,,,,,,,,,3.55,3.55,3.55,3.55,1.0,3.21,3.5,3.21,3.5,5.0,3.3,3.3,3.3,3.3,1.0,2.81,2.96,2.67,2.67,6.0,,,,,,2.61,2.61,2.29,2.31,39.0,2.41,2.41,2.13,2.13,7.0
2019-05-31,2019-05-31,30.42,30.89,29.905,30.73,28925166.0,,,,,,,,,,,,,,,,,,,,,5.5,5.83,5.4,5.83,110.0,5.19,5.19,5.19,5.19,1.0,5.1,5.2,4.94,5.2,25.0,4.45,4.75,4.45,4.75,11.0,,,,,,4.0,4.0,4.0,4.0,1.0,3.55,3.89,3.25,3.89,63.0,3.35,3.6,3.35,3.6,11.0,3.08,3.4,3.0,3.25,286.0,3.03,3.15,3.03,3.06,7.0
2019-06-03,2019-06-03,30.73,31.41,29.8199,30.4,29037266.0,,,,,,,,,,,6.71,6.72,6.11,6.13,150.0,,,,,,5.89,5.89,5.13,5.45,197.0,5.0,5.0,5.0,5.0,10.0,4.99,4.99,4.34,4.34,321.0,4.43,4.43,4.43,4.43,1.0,4.87,4.87,3.68,4.08,70.0,4.03,4.1,3.9,3.9,34.0,3.85,3.85,3.45,3.45,113.0,3.85,3.85,3.85,3.85,1.0,3.5,3.6,2.71,2.8,51.0,3.12,3.12,2.58,2.75,13.0
2019-06-04,2019-06-04,29.02,30.24,29.0,29.81,24171477.0,,,,,,,,,,,5.51,5.51,5.51,5.51,40.0,5.1,5.35,5.1,5.35,2.0,4.35,4.65,4.35,4.65,9.0,,,,,,3.88,3.88,3.88,3.88,80.0,4.2,4.2,4.2,4.2,1.0,2.9,3.2,2.9,3.2,3.0,,,,,,,,,,,2.25,2.45,2.25,2.45,57.0,1.95,2.6,1.95,2.6,90.0,1.86,1.99,1.86,1.99,3.0
2019-06-05,2019-06-05,28.46,29.33,28.31,28.65,23479972.0,,,,,,5.64,5.66,5.64,5.66,2.0,,,,,,,,,,,3.9,3.9,3.9,3.9,3.0,,,,,,3.4,3.6,3.13,3.32,103.0,,,,,,2.63,2.91,2.63,2.91,102.0,2.59,2.59,2.59,2.59,1.0,1.99,2.26,1.99,2.26,12.0,1.99,2.29,1.99,2.11,23.0,1.5,1.97,1.5,1.97,85.0,1.38,1.82,1.38,1.74,16.0
2019-06-06,2019-06-06,27.85,28.55,27.77,28.24,18497198.0,,,,,,,,,,,,,,,,3.65,4.05,3.65,4.05,3.0,3.41,3.41,3.41,3.41,3.0,2.87,3.05,2.87,3.05,60.0,,,,,,2.72,2.72,2.72,2.72,1.0,2.07,2.16,2.07,2.16,3.0,1.77,2.04,1.77,2.04,9.0,1.6,1.91,1.6,1.91,55.0,1.43,1.74,1.4,1.72,27.0,1.29,1.59,1.29,1.5,104.0,1.23,1.42,1.23,1.42,87.0
2019-06-07,2019-06-07,28.06,28.1615,27.6,27.77,23326873.0,5.0,5.0,5.0,5.0,1.0,,,,,,,,,,,3.67,3.67,3.67,3.67,1.0,3.35,3.35,3.25,3.25,3.0,3.0,3.0,2.67,2.76,78.0,2.37,2.37,2.37,2.37,1.0,2.34,2.34,2.12,2.23,33.0,1.96,2.05,1.85,1.85,9.0,1.74,1.85,1.74,1.77,44.0,1.61,1.65,1.45,1.58,127.0,1.39,1.47,1.37,1.43,81.0,1.29,1.32,1.14,1.25,90.0,1.14,1.14,1.11,1.11,484.0
2019-06-10,2019-06-10,27.86,28.24,27.61,27.71,14480560.0,4.95,4.95,4.9,4.9,28.0,,,,,,,,,,,3.35,3.35,3.35,3.35,13.0,3.24,3.24,2.94,3.0,86.0,2.72,2.95,2.62,2.65,59.0,2.46,2.64,2.36,2.41,35.0,2.13,2.28,2.04,2.04,20.0,1.89,2.05,1.79,1.85,77.0,1.64,1.84,1.59,1.59,38.0,1.44,1.62,1.38,1.38,275.0,1.29,1.35,1.23,1.25,55.0,1.14,1.27,1.09,1.11,104.0,1.06,1.06,0.97,0.99,80.0
