date,date,close,high,low,open,volume,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume
2019-09-11,2019-09-11,2.96,3.12,2.85,3.05,100.0,2019-09-11,24.02,24.46,23.86,24.37,33546901.0
2019-09-12,2019-09-12,2.48,2.79,2.38,2.75,237.0,2019-09-12,23.45,23.9,23.17,23.57,42894510.0
2019-09-13,2019-09-13,2.38,2.53,2.18,2.38,509.0,2019-09-13,23.08,23.33,22.82,23.16,32599380.0
2019-09-16,2019-09-16,2.62,2.76,2.35,2.76,498.0,2019-09-16,23.42,23.67,23.01,23.6,27943659.0
2019-09-17,2019-09-17,2.48,2.7,2.48,2.59,127.0,2019-09-17,23.31,23.73,23.29,23.49,25161317.0
2019-09-18,2019-09-18,2.0,2.73,2.0,2.42,670.0,2019-09-18,22.56,23.6915,22.5,23.1,54380388.0
2019-09-19,2019-09-19,1.75,1.84,1.57,1.8,1271.0,2019-09-19,22.15,22.315,21.8,22.25,33074777.0
2019-09-20,2019-09-20,2.35,2.59,1.57,1.6,1002.0,2019-09-20,23.29,23.48,21.83,21.92,38357372.0
2019-09-23,2019-09-23,2.04,2.47,1.91,2.38,325.0,2019-09-23,23.09,23.44,22.7,23.38,23116668.0
2019-09-24,2019-09-24,2.99,3.08,1.79,1.85,475.0,2019-09-24,24.16,24.34,22.45,22.52,63880942.0
2019-09-25,2019-09-25,2.36,3.55,2.34,2.96,278.0,2019-09-25,23.61,24.97,23.4,24.1,43369035.0
2019-09-26,2019-09-26,2.35,2.84,2.35,2.49,277.0,2019-09-26,23.81,24.26,23.53,23.55,31422590.0
2019-09-27,2019-09-27,3.01,3.45,2.24,2.42,215.0,2019-09-27,24.46,25.115,23.38,23.51,54237460.0
2019-09-30,2019-09-30,2.37,2.52,2.2,2.5,238.0,2019-09-30,23.74,24.21,23.48,24.18,24118716.0
2019-10-01,2019-10-01,3.24,3.25,1.81,1.87,630.0,2019-10-01,24.79,24.8,23.05,23.13,48062831.0
2019-10-02,2019-10-02,4.63,4.85,3.68,3.68,333.0,2019-10-02,26.45,26.76,25.47,25.48,84176579.0
2019-10-03,2019-10-03,3.6,5.05,3.6,4.6,438.0,2019-10-03,25.44,27.1,25.43,26.36,51516387.0
2019-10-04,2019-10-04,2.32,3.24,2.32,3.21,332.0,2019-10-04,24.09,25.27,24.05,25.25,29824933.0
2019-10-07,2019-10-07,2.62,2.81,2.05,2.6,462.0,2019-10-07,24.27,24.68,23.76,24.42,29089980.0
2019-10-08,2019-10-08,4.39,4.39,3.1,3.3,373.0,2019-10-08,26.24,26.27,24.93,25.2,49469482.0
2019-10-09,2019-10-09,3.2,3.57,3.2,3.55,51.0,2019-10-09,25.36,25.83,24.76,25.45,30012701.0
2019-10-10,2019-10-10,2.59,3.2,2.52,3.2,165.0,2019-10-10,24.43,25.4,24.355,25.32,34818530.0
2019-10-11,2019-10-11,1.39,1.9,1.16,1.9,1074.0,2019-10-11,23.02,23.82,22.62,23.7,74386222.0
2019-10-14,2019-10-14,0.75,1.39,0.7,1.39,1060.0,2019-10-14,22.27,23.11,22.24,23.09,30104234.0
2019-10-15,2019-10-15,0.41,0.53,0.31,0.51,3712.0,2019-10-15,21.69,21.9,21.36,21.84,46193742.0
2019-10-16,2019-10-16,0.18,0.42,0.18,0.39,3930.0,2019-10-16,21.42,21.88,21.37,21.66,28359123.0
2019-10-17,2019-10-17,0.09,0.17,0.08,0.13,4444.0,2019-10-17,21.29,21.43,20.965,21.21,26156003.0
2019-10-18,2019-10-18,0.02,0.11,0.01,0.08,10493.0,2019-10-18,21.24,21.76,21.03,21.38,32607762.0
