date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-22,2019-05-22,27.22,27.69,26.93,27.6,28075437.0,0.02,0.03,0.01,0.02,31.0,0.05,0.05,0.04,0.04,75.0,0.1,0.13,0.1,0.12,727.0,0.17,0.18,0.17,0.17,80.0,0.28,0.28,0.22,0.25,16782.0,0.4,0.4,0.34,0.34,8.0,0.53,0.55,0.46,0.47,9561.0,0.69,0.69,0.62,0.68,11.0,0.9,0.91,0.79,0.85,866.0,1.13,1.13,1.0,1.04,186.0,1.32,1.4,1.22,1.32,977.0,1.6,1.6,1.55,1.59,19.0,1.87,2.0,1.74,1.81,546.0,2.16,2.27,2.06,2.1,151.0,2.57,2.64,2.36,2.39,1245.0,2.97,2.98,2.71,2.74,212.0,3.25,3.25,3.05,3.21,53.0,3.6,3.6,3.6,3.6,12.0
2019-05-23,2019-05-23,29.02,29.5,28.25,28.25,42745667.0,0.01,0.01,0.01,0.01,7.0,0.02,0.03,0.02,0.03,74.0,0.06,0.24,0.03,0.16,671.0,0.09,0.1,0.08,0.09,83.0,0.1,0.17,0.1,0.1,1527.0,,,,,,0.26,0.35,0.21,0.35,6512.0,0.32,0.41,0.32,0.41,85.0,0.47,0.59,0.41,0.58,2887.0,0.62,0.71,0.54,0.71,106.0,0.79,1.08,0.7,1.08,754.0,1.06,1.12,0.95,1.08,219.0,1.18,1.48,1.09,1.48,1688.0,1.31,1.67,1.31,1.57,49.0,1.7,2.13,1.55,2.1,1303.0,2.0,2.25,1.89,2.06,986.0,2.23,2.59,2.11,2.56,1298.0,2.65,2.89,2.45,2.89,65.0
2019-05-24,2019-05-24,28.42,28.8,27.88,28.17,24589353.0,0.01,0.01,0.01,0.01,2.0,0.02,0.02,0.02,0.02,1.0,0.04,0.22,0.04,0.22,249.0,0.09,0.1,0.07,0.1,71.0,0.13,0.29,0.11,0.29,1260.0,0.2,0.25,0.18,0.25,89.0,0.26,0.34,0.22,0.34,161.0,0.41,0.44,0.37,0.44,73.0,0.54,0.64,0.47,0.58,2225.0,0.66,0.8,0.62,0.8,14.0,0.89,1.02,0.76,1.01,565.0,1.09,1.26,1.07,1.25,127.0,1.4,1.53,1.21,1.51,455.0,1.62,1.74,1.47,1.7,46.0,1.87,2.1,1.74,1.98,1793.0,2.29,2.45,2.03,2.35,415.0,2.64,2.77,2.35,2.58,1033.0,2.87,3.1,2.73,3.07,67.0
2019-05-28,2019-05-28,29.27,29.27,27.76,28.22,22138340.0,0.02,0.02,0.01,0.02,41.0,0.01,0.23,0.01,0.23,197.0,0.02,0.26,0.02,0.26,67.0,0.04,0.07,0.04,0.07,7.0,0.07,0.12,0.06,0.12,491.0,0.14,0.16,0.14,0.16,16.0,0.17,0.31,0.17,0.31,50.0,0.31,0.32,0.31,0.32,11.0,0.33,0.57,0.32,0.57,2347.0,0.47,0.71,0.47,0.71,36.0,0.64,0.92,0.58,0.86,40.0,0.77,0.95,0.77,0.95,63.0,0.99,1.43,0.95,1.32,336.0,1.23,1.58,1.17,1.49,10.0,1.48,2.01,1.43,1.95,706.0,1.77,2.28,1.7,2.28,231.0,2.07,2.64,2.0,2.63,931.0,2.75,3.02,2.75,3.02,25.0
2019-05-29,2019-05-29,29.84,30.3701,29.32,29.89,33021038.0,0.01,0.01,0.01,0.01,40.0,0.01,0.13,0.01,0.13,39.0,0.03,0.18,0.01,0.18,45.0,0.02,0.03,0.02,0.03,82.0,0.04,0.12,0.03,0.12,3798.0,0.06,0.1,0.06,0.1,4.0,0.1,0.21,0.08,0.21,6313.0,0.14,0.16,0.14,0.16,68.0,0.22,0.31,0.18,0.31,1083.0,0.31,0.33,0.27,0.33,129.0,0.44,0.61,0.37,0.5,1023.0,0.58,0.79,0.5,0.79,282.0,0.75,0.91,0.65,0.91,1117.0,0.93,1.01,0.85,0.94,109.0,1.16,1.4,1.03,1.4,2169.0,1.45,1.57,1.32,1.4,127.0,1.68,1.96,1.51,1.96,532.0,1.97,2.1,1.81,1.96,54.0
2019-05-30,2019-05-30,29.31,29.88,28.845,29.11,20277162.0,0.01,0.01,0.01,0.01,4.0,0.02,0.02,0.01,0.01,2056.0,0.02,0.2,0.01,0.2,11.0,,,,,,0.05,0.05,0.04,0.04,171.0,0.07,0.07,0.06,0.07,93.0,0.11,0.14,0.08,0.14,195.0,0.16,0.16,0.16,0.16,5.0,0.27,0.37,0.18,0.37,419.0,0.31,0.41,0.31,0.41,49.0,0.46,0.55,0.38,0.55,2136.0,0.61,0.73,0.53,0.67,116.0,0.79,0.93,0.67,0.93,784.0,1.01,1.14,0.91,1.14,119.0,1.3,1.41,1.08,1.35,2449.0,1.5,1.7,1.35,1.7,128.0,1.77,2.0,1.57,1.9,804.0,2.07,2.22,1.89,2.22,53.0
2019-05-31,2019-05-31,30.42,30.89,29.905,30.73,28925166.0,0.01,0.01,0.01,0.01,2.0,0.02,0.02,0.01,0.01,168.0,0.01,0.03,0.01,0.01,109.0,0.01,0.02,0.01,0.02,25.0,0.02,0.05,0.02,0.05,64.0,,,,,,0.06,0.2,0.03,0.2,5477.0,0.1,0.13,0.1,0.1,87.0,0.14,0.24,0.12,0.24,3433.0,0.25,0.25,0.21,0.21,24.0,0.28,0.46,0.27,0.41,11285.0,0.4,0.45,0.4,0.43,59.0,0.54,0.65,0.48,0.63,5653.0,0.63,0.84,0.62,0.68,2573.0,0.85,1.06,0.82,0.82,1542.0,1.05,1.21,1.05,1.12,59.0,1.29,1.53,1.24,1.24,829.0,1.6,1.6,1.55,1.55,7.0
2019-06-03,2019-06-03,30.73,31.41,29.8199,30.4,29037266.0,0.01,0.01,0.01,0.01,2.0,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,15.0,0.02,0.02,0.02,0.02,1.0,0.02,0.02,0.01,0.02,254.0,,,,,,0.03,0.06,0.02,0.05,1308.0,0.05,0.09,0.05,0.09,26.0,0.08,0.15,0.07,0.15,159.0,0.15,0.22,0.11,0.22,292.0,0.21,0.29,0.16,0.28,289.0,0.27,0.4,0.26,0.4,63.0,0.37,0.57,0.33,0.5,391.0,0.47,0.76,0.47,0.72,40.0,0.72,0.94,0.57,0.91,1709.0,0.8,1.05,0.77,1.03,55.0,1.0,1.39,0.95,1.3,316.0,1.25,1.64,1.22,1.64,36.0
2019-06-04,2019-06-04,29.02,30.24,29.0,29.81,24171477.0,0.01,0.01,0.01,0.01,2.0,0.01,0.01,0.01,0.01,3.0,0.02,0.02,0.01,0.01,17.0,0.02,2.18,0.01,0.01,110.0,0.02,0.02,0.01,0.02,14.0,,,,,,0.04,0.05,0.03,0.03,247.0,,,,,,0.11,0.11,0.08,0.1,149.0,0.17,2.33,0.13,0.15,251.0,0.27,0.28,0.2,0.28,287.0,0.39,0.41,0.31,0.37,1610.0,0.58,2.86,0.41,0.53,2963.0,0.75,0.75,0.57,0.7,1363.0,1.02,3.29,0.75,0.86,8423.0,1.3,1.3,0.96,1.15,1700.0,1.56,1.56,1.19,1.25,1287.0,1.85,1.85,1.55,1.65,68.0
2019-06-05,2019-06-05,28.46,29.33,28.31,28.65,23479972.0,0.01,0.01,0.01,0.01,1.0,,,,,,0.01,0.02,0.01,0.01,29.0,0.02,0.02,0.02,0.02,20.0,0.02,0.02,0.01,0.01,35.0,,,,,,0.03,0.04,0.03,0.04,111.0,0.06,0.07,0.06,0.07,26.0,0.12,0.15,0.09,0.11,203.0,0.22,0.23,0.16,0.16,351.0,0.35,0.36,0.24,0.24,124.0,0.52,0.52,0.35,0.41,308.0,0.72,0.73,0.51,0.61,705.0,0.89,0.89,0.71,0.77,608.0,1.21,1.22,0.9,1.08,2936.0,1.5,1.5,1.19,1.37,123.0,1.82,1.85,1.47,1.55,716.0,2.1,2.16,1.77,1.97,29.0
2019-06-06,2019-06-06,27.85,28.55,27.77,28.24,18497198.0,,,,,,0.01,0.01,0.01,0.01,1.0,0.01,0.02,0.01,0.02,92.0,,,,,,0.02,0.02,0.01,0.02,12.0,0.03,0.03,0.03,0.03,15.0,0.05,0.06,0.04,0.04,23.0,0.1,0.1,0.09,0.09,3.0,0.17,0.17,0.13,0.13,160.0,0.26,0.26,0.22,0.22,28.0,0.41,0.43,0.31,0.32,2258.0,0.54,0.57,0.47,0.51,592.0,0.85,0.85,0.66,0.75,5510.0,1.03,1.05,0.87,0.95,230.0,1.38,1.42,1.13,1.2,845.0,1.6,1.6,1.43,1.49,57.0,2.02,2.1,1.76,1.83,251.0,2.44,2.46,2.11,2.11,181.0
2019-06-07,2019-06-07,28.06,28.1615,27.6,27.77,23326873.0,0.02,0.02,0.02,0.02,2.0,0.01,0.01,0.01,0.01,3.0,0.02,0.02,0.02,0.02,1.0,0.01,0.01,0.01,0.01,1.0,0.02,0.02,0.01,0.01,12.0,0.03,0.04,0.02,0.03,75.0,0.04,0.06,0.04,0.06,94.0,0.08,0.09,0.07,0.09,51.0,0.13,0.18,0.13,0.17,6983.0,0.22,0.26,0.21,0.26,1564.0,0.33,0.4,0.33,0.39,946.0,0.5,0.64,0.49,0.63,207.0,0.71,0.87,0.7,0.78,17429.0,0.95,1.16,0.93,1.08,5162.0,1.21,1.4,1.19,1.39,723.0,1.58,1.81,1.57,1.68,262.0,1.93,2.16,1.86,2.05,1380.0,2.28,2.56,2.28,2.44,163.0
2019-06-10,2019-06-10,27.86,28.24,27.61,27.71,14480560.0,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,6.0,0.01,0.01,0.01,0.01,4.0,0.01,0.01,0.01,0.01,5.0,0.02,0.02,0.01,0.01,401.0,0.02,0.02,0.02,0.02,10.0,0.03,0.03,0.02,0.02,41.0,0.05,0.08,0.05,0.08,136.0,0.1,0.14,0.08,0.13,8560.0,0.16,0.24,0.13,0.22,813.0,0.29,0.49,0.25,0.49,1406.0,0.46,0.56,0.42,0.55,769.0,0.66,0.82,0.53,0.82,2047.0,0.91,1.09,0.75,1.09,4337.0,1.23,1.41,1.02,1.41,1024.0,1.57,1.73,1.34,1.73,238.0,1.87,2.13,1.67,1.67,315.0,2.3,2.52,2.27,2.52,135.0
2019-06-11,2019-06-11,27.91,28.3,27.3,27.4,18841531.0,0.03,0.03,0.03,0.03,1.0,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,10.0,,,,,,0.02,0.02,0.01,0.01,23.0,0.02,0.02,0.01,0.01,4.0,0.03,0.03,0.03,0.03,2.0,,,,,,0.09,0.15,0.07,0.15,1204.0,0.14,0.22,0.13,0.21,341.0,0.25,0.4,0.2,0.4,1682.0,0.38,0.56,0.32,0.56,974.0,0.59,0.84,0.5,0.81,1631.0,0.84,1.18,0.75,1.18,492.0,1.13,1.47,0.98,1.45,1112.0,1.46,1.73,1.29,1.72,402.0,1.77,2.24,1.63,2.18,221.0,2.18,2.56,1.99,2.5,546.0
2019-06-12,2019-06-12,27.78,28.3,27.66,28.11,14225241.0,0.01,0.01,0.01,0.01,3.0,,,,,,0.01,0.01,0.01,0.01,22.0,,,,,,0.01,0.01,0.01,0.01,26.0,,,,,,0.03,0.03,0.02,0.02,4.0,0.03,0.03,0.03,0.03,40.0,0.07,0.1,0.05,0.1,5230.0,0.1,0.12,0.1,0.11,1071.0,0.18,0.34,0.18,0.34,1106.0,0.32,0.35,0.28,0.3,776.0,0.49,0.55,0.45,0.55,11748.0,0.78,0.8,0.65,0.65,1440.0,1.08,1.1,0.92,0.94,2901.0,1.38,1.38,1.22,1.31,54.0,1.76,1.78,1.56,1.66,162.0,2.16,2.19,1.98,2.03,156.0
2019-06-13,2019-06-13,27.61,27.905,27.33,27.45,17051858.0,0.02,0.02,0.02,0.02,2.0,0.01,0.01,0.01,0.01,4.0,,,,,,,,,,,0.01,0.01,0.01,0.01,14.0,0.01,0.01,0.01,0.01,110.0,0.02,0.03,0.01,0.02,4140.0,,,,,,0.04,0.06,0.03,0.06,326.0,0.09,0.12,0.09,0.1,32.0,0.15,0.34,0.13,0.34,1927.0,0.27,0.48,0.24,0.35,1011.0,0.46,0.62,0.4,0.58,1210.0,0.72,0.93,0.62,0.93,1265.0,1.03,1.21,0.91,1.14,3662.0,1.31,1.6,1.26,1.57,352.0,1.76,2.0,1.6,1.93,620.0,2.12,2.45,2.01,2.38,465.0
