date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-06-03,2019-06-03,30.73,31.41,29.8199,30.4,29037266.0,0.04,0.05,0.04,0.05,14.0,0.08,0.08,0.08,0.08,2.0,0.13,0.13,0.13,0.13,41.0,0.18,0.18,0.17,0.17,11.0,0.18,0.27,0.18,0.21,47.0,0.23,0.36,0.23,0.36,45.0,0.38,0.49,0.35,0.43,35.0,0.64,0.64,0.52,0.52,4.0,0.58,0.82,0.58,0.8,20.0,0.74,0.74,0.72,0.72,4.0,0.92,1.24,0.9,1.07,91.0,1.38,1.38,1.38,1.38,5.0,1.42,1.68,1.25,1.68,59.0,1.9,2.04,1.9,2.03,5.0
2019-06-04,2019-06-04,29.02,30.24,29.0,29.81,24171477.0,0.05,0.05,0.04,0.04,14.0,,,,,,,,,,,,,,,,0.24,0.24,0.22,0.22,102.0,0.33,0.33,0.31,0.31,10.0,0.5,0.5,0.46,0.47,11.0,0.65,0.65,0.6,0.6,12.0,0.86,0.86,0.73,0.78,87.0,1.09,1.09,0.93,0.94,85.0,1.26,1.26,1.26,1.26,75.0,1.5,1.5,1.45,1.45,16.0,1.92,1.92,1.74,1.81,39.0,2.12,2.12,1.88,1.88,21.0
2019-06-05,2019-06-05,28.46,29.33,28.31,28.65,23479972.0,0.05,0.05,0.04,0.05,8.0,,,,,,0.11,0.11,0.11,0.11,2.0,3.22,3.22,3.22,3.22,10.0,0.25,0.28,0.25,0.28,6.0,0.39,0.39,0.38,0.38,8.0,0.57,0.57,0.51,0.54,26.0,0.75,3.87,0.69,3.87,15.0,0.93,0.93,0.86,0.86,3.0,1.0,1.15,1.0,1.15,3.0,1.51,1.51,1.3,1.43,82.0,1.79,1.79,1.64,1.64,21.0,2.2,2.2,1.79,1.85,151.0,2.53,2.53,2.37,2.37,16.0
2019-06-06,2019-06-06,27.85,28.55,27.77,28.24,18497198.0,0.05,0.05,0.04,0.05,4.0,,,,,,0.13,0.13,0.13,0.13,4.0,0.21,0.22,0.21,0.22,5.0,0.33,0.35,0.32,0.35,12.0,0.49,0.5,0.41,0.45,75.0,0.67,0.67,0.57,0.61,32.0,0.89,0.89,0.89,0.89,4.0,1.14,1.14,0.98,1.0,148.0,1.39,1.39,1.23,1.23,9.0,1.68,1.7,1.48,1.58,88.0,1.88,1.89,1.81,1.89,17.0,2.35,2.35,2.1,2.1,47.0,2.69,2.69,2.5,2.56,99.0
2019-06-07,2019-06-07,28.06,28.1615,27.6,27.77,23326873.0,0.06,0.07,0.05,0.05,122.0,0.09,0.09,0.09,0.09,10.0,0.15,0.15,0.15,0.15,15.0,0.23,0.23,0.23,0.23,1.0,0.31,0.36,0.31,0.33,19.0,0.47,0.51,0.43,0.48,135.0,0.6,0.67,0.59,0.65,136.0,0.81,0.88,0.81,0.88,92.0,0.96,1.21,0.96,1.21,71.0,1.38,1.38,1.31,1.35,11.0,1.68,1.8,1.61,1.69,89.0,1.92,1.97,1.92,1.97,11.0,2.28,2.45,2.25,2.45,173.0,2.68,2.69,2.68,2.69,14.0
2019-06-10,2019-06-10,27.86,28.24,27.61,27.71,14480560.0,0.05,0.05,0.05,0.05,3.0,,,,,,,,,,,0.17,0.22,0.16,0.22,21.0,0.27,0.32,0.25,0.32,28.0,0.41,0.41,0.32,0.32,6.0,0.58,0.65,0.52,0.65,305.0,0.76,0.88,0.76,0.88,28.0,1.01,1.05,0.97,1.0,19.0,1.29,1.44,1.27,1.38,23.0,1.58,1.73,1.55,1.73,19.0,2.09,2.09,2.06,2.07,28.0,2.26,2.44,2.12,2.42,64.0,2.62,2.8,2.47,2.8,528.0
2019-06-11,2019-06-11,27.91,28.3,27.3,27.4,18841531.0,0.04,0.05,0.04,0.05,6.0,,,,,,0.08,0.14,0.08,0.13,45.0,0.13,0.13,0.13,0.13,66.0,0.21,0.3,0.21,0.29,287.0,0.33,0.34,0.3,0.3,21.0,0.51,0.68,0.44,0.68,172.0,0.65,0.9,0.65,0.9,213.0,0.93,1.19,0.86,1.18,318.0,1.18,1.47,1.16,1.45,37.0,1.51,1.74,1.34,1.72,34.0,1.71,1.95,1.67,1.95,31.0,2.07,2.55,2.07,2.55,29.0,2.5,2.89,2.4,2.89,42.0
2019-06-12,2019-06-12,27.78,28.3,27.66,28.11,14225241.0,,,,,,,,,,,0.07,0.07,0.07,0.07,1.0,0.11,0.11,0.11,0.11,284.0,0.19,0.2,0.19,0.19,15.0,0.3,0.32,0.28,0.29,3530.0,0.44,0.47,0.41,0.42,103.0,0.62,0.66,0.59,0.61,65.0,0.86,0.88,0.83,0.84,131.0,1.13,1.17,1.06,1.09,111.0,1.46,1.46,1.31,1.31,111.0,1.61,1.73,1.61,1.73,30.0,2.16,2.16,1.97,1.98,71.0,2.38,2.38,2.38,2.38,4.0
2019-06-13,2019-06-13,27.61,27.905,27.33,27.45,17051858.0,0.01,0.03,0.01,0.03,92.0,0.02,0.04,0.02,0.04,40.0,0.06,0.07,0.06,0.07,21.0,0.08,0.12,0.08,0.12,222.0,0.17,0.22,0.14,0.22,42.0,0.27,0.3,0.24,0.3,95.0,0.42,0.53,0.38,0.5,356.0,0.62,0.72,0.62,0.72,104.0,0.79,0.99,0.79,0.97,301.0,1.03,1.28,1.03,1.28,248.0,1.33,1.56,1.33,1.56,60.0,1.72,1.89,1.72,1.89,19.0,2.0,2.25,2.0,2.25,17.0,2.61,2.67,2.61,2.62,12.0
2019-06-14,2019-06-14,27.32,28.06,27.28,27.8,13682989.0,0.01,0.02,0.01,0.02,94.0,0.04,0.04,0.04,0.04,5.0,0.05,0.05,0.05,0.05,48.0,0.1,0.1,0.08,0.09,34.0,0.15,0.15,0.12,0.12,18.0,0.25,0.59,0.21,0.21,159.0,0.4,0.4,0.32,0.32,138.0,0.63,1.08,0.48,0.48,68.0,0.88,0.88,0.69,0.72,1659.0,1.2,1.2,1.04,1.04,214.0,1.5,1.5,1.2,1.3,112.0,1.87,1.87,1.57,1.57,81.0,2.22,2.25,1.88,1.92,1051.0,2.54,2.54,2.54,2.54,7.0
2019-06-17,2019-06-17,27.03,27.36,26.8815,27.29,14470210.0,0.01,0.01,0.01,0.01,105.0,0.02,0.02,0.02,0.02,102.0,0.06,0.06,0.04,0.04,126.0,0.1,0.1,0.07,0.07,292.0,0.17,0.17,0.13,0.14,635.0,0.3,0.3,0.25,0.25,1121.0,0.48,0.48,0.38,0.42,633.0,0.71,0.71,0.6,0.66,111.0,1.0,1.0,0.83,0.88,7244.0,1.27,1.33,1.13,1.2,281.0,1.62,1.7,1.53,1.68,317.0,2.01,2.11,1.85,1.85,439.0,2.39,2.5,2.24,2.24,724.0,2.84,2.94,2.65,2.65,851.0
